Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"Therapist, occupational",Manufacturing,Increasing,Moderate,107492.26,PhD,18,5578,8049,58.18,54.3,USA,32.58
Dentist,Finance,Decreasing,Low,63403.57,Bachelor’s Degree,5,518,8671,41.03,40.36,USA,21.52
Dentist,Education,Decreasing,Low,30680.03,High School,12,4572,5765,69.03,85.24,USA,76.23
"Embryologist, clinical",Healthcare,Decreasing,High,101209.28,Master’s Degree,9,4601,9488,48.84,55.06,USA,60.95
Clinical psychologist,Finance,Decreasing,Moderate,111885.21,Associate Degree,11,6023,5456,58.53,42.1,USA,70.1
Technical sales engineer,Education,Increasing,High,87047.96,High School,17,6569,4642,61.99,2.19,USA,54.31
Broadcast presenter,IT,Decreasing,High,38374.34,Associate Degree,7,5545,4079,65.1,75.29,USA,27.15
Market researcher,Transportation,Increasing,High,114841.54,Associate Degree,14,6173,2679,4.25,33.34,USA,37.3
Historic buildings inspector/conservation officer,Retail,Decreasing,High,68270.18,Master’s Degree,13,8984,1006,45.63,13.8,USA,68.97
Water engineer,Entertainment,Increasing,Moderate,66458.27,Associate Degree,11,7412,3125,94.99,55.32,USA,77.13
Mudlogger,Finance,Decreasing,Low,103327.6,High School,9,751,8196,81.66,78.24,USA,21.52
Video editor,Manufacturing,Increasing,Moderate,44464.52,Associate Degree,1,2715,6688,80.09,2.78,USA,56.55
Warehouse manager,Healthcare,Decreasing,Moderate,101058.91,High School,1,6796,9963,52.93,1.53,USA,73.27
Make,Entertainment,Decreasing,Low,106068.6,High School,1,7131,1507,85.27,72.2,USA,78.05
"Psychologist, forensic",IT,Decreasing,Moderate,126781.39,Associate Degree,18,3878,9513,35.86,89.93,USA,78.83
"Scientist, forensic",Healthcare,Increasing,Low,53350.67,PhD,4,975,9719,45.08,94.86,USA,49.97
Medical technical officer,Education,Increasing,High,63721.57,Associate Degree,7,3952,8685,53.85,78.01,USA,63.24
"Research officer, political party",Finance,Increasing,Low,64751.93,High School,9,6928,2026,53.94,68.08,USA,21.52
Public affairs consultant,Manufacturing,Decreasing,High,33944.35,PhD,9,9708,3751,19.49,11.91,USA,37.56
Technical sales engineer,Education,Decreasing,Moderate,61248.58,Master’s Degree,14,6659,2210,5.4,67.51,USA,55.82
Research scientist (maths),Finance,Decreasing,Low,133962.37,PhD,17,5964,3973,9.14,75.38,USA,41.74
Fisheries officer,Entertainment,Increasing,Moderate,35169.82,PhD,10,4978,6134,36.4,84.68,USA,36.83
Corporate investment banker,Education,Decreasing,High,67749.55,Master’s Degree,3,1708,5468,1.96,9.4,USA,64.51
"Scientist, marine",Entertainment,Increasing,Low,58221.21,PhD,1,200,1223,2.93,54.53,USA,51.83
Commissioning editor,Entertainment,Increasing,High,106007.98,Bachelor’s Degree,17,8167,6520,67.14,94.55,USA,21.44
Theatre director,Entertainment,Decreasing,Low,148797.83,Bachelor’s Degree,14,1465,6154,15.78,30.9,USA,46.35
Passenger transport manager,Transportation,Decreasing,High,67596.39,Bachelor’s Degree,12,139,1582,89.75,16.07,USA,24.34
Interior and spatial designer,Transportation,Increasing,High,136935.81,Associate Degree,6,2846,4194,39.59,28.15,USA,79.75
IT technical support officer,Healthcare,Decreasing,Low,74380.17,PhD,18,6268,9104,27.49,59.4,USA,54.6
Fish farm manager,Retail,Increasing,Moderate,76805.3,Bachelor’s Degree,10,2943,4292,38.89,98.7,USA,47.24
"Doctor, hospital",Finance,Decreasing,High,70332.28,Associate Degree,14,4170,8997,91.94,71.73,USA,29.01
Radio broadcast assistant,Entertainment,Decreasing,Low,149467,Bachelor’s Degree,12,9226,3420,80.2,29.21,USA,66.02
Print production planner,Healthcare,Increasing,Moderate,48235.26,Bachelor’s Degree,13,3592,9197,65.67,32.61,USA,74.32
Town planner,Entertainment,Increasing,High,70850.95,Master’s Degree,15,7632,4297,39.63,89.86,USA,57.89
"Sound technician, broadcasting/film/video",Finance,Decreasing,Moderate,101070.06,Master’s Degree,12,3492,251,41.04,14.29,USA,43.01
"Doctor, hospital",Manufacturing,Increasing,Low,79438.04,Bachelor’s Degree,0,5693,7445,87.05,50.6,USA,58.08
General practice doctor,Healthcare,Increasing,Low,118524.16,Bachelor’s Degree,13,299,2907,20.84,89.6,USA,25.09
Environmental education officer,Education,Increasing,High,90157.66,Master’s Degree,18,2624,5444,52.96,58.54,USA,65.17
"Programmer, systems",Manufacturing,Increasing,Low,128785.19,PhD,8,6295,6246,6.42,68.22,USA,35.28
Arts administrator,Entertainment,Decreasing,Moderate,147248.97,Bachelor’s Degree,2,5858,450,73.17,86.1,USA,54.39
"Therapist, drama",Education,Decreasing,Moderate,114145.69,PhD,20,9522,8277,49.53,81.97,USA,54.59
Cartographer,Manufacturing,Increasing,High,35722.55,PhD,12,9602,4882,89.77,61.77,USA,25.49
Optometrist,Finance,Increasing,Low,78551.67,Bachelor’s Degree,14,9397,9722,27.92,82.68,USA,47.54
"Engineer, control and instrumentation",Transportation,Increasing,High,112135.11,Associate Degree,4,2750,3603,23.21,27.29,USA,48.81
Research scientist (life sciences),Entertainment,Decreasing,Low,111379.99,Master’s Degree,15,2500,8146,47.68,72.61,USA,77.68
"Horticulturist, amenity",Transportation,Increasing,Low,128836.82,Master’s Degree,8,2425,9935,67.8,61.62,USA,52.8
English as a second language teacher,Entertainment,Decreasing,Low,76504.57,PhD,2,2616,6578,30.89,46.64,USA,41.45
"Administrator, Civil Service",IT,Increasing,High,50139.63,PhD,14,585,8750,42.75,79.45,USA,48.19
"Teacher, music",Entertainment,Decreasing,High,117096.54,Associate Degree,3,4448,9183,45.85,23.24,USA,56.29
Minerals surveyor,Entertainment,Increasing,Low,70928.09,Associate Degree,9,4858,9691,92.51,22.58,USA,63.9
Barrister's clerk,Finance,Increasing,Moderate,62836.83,Master’s Degree,5,4184,1770,10.4,44.8,USA,77.74
"Engineer, agricultural",Manufacturing,Increasing,Moderate,123450.36,PhD,1,2007,3682,25.27,57.08,USA,29.43
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,111043.67,PhD,13,6211,2553,56.49,6.98,USA,71.61
"Journalist, broadcasting",Entertainment,Increasing,High,130884.69,Associate Degree,2,4016,5733,28.89,90.13,USA,73.84
Mental health nurse,Manufacturing,Decreasing,Moderate,142357.27,PhD,15,1980,8533,74.53,78.62,USA,44.81
Contractor,Transportation,Increasing,Low,90076.42,High School,1,9634,9724,80.99,60.77,USA,37.23
Statistician,Healthcare,Decreasing,Moderate,103583.77,Associate Degree,12,8332,3735,97.79,29.71,USA,66.14
"Engineer, chemical",Transportation,Increasing,Low,46796.68,PhD,6,1950,9702,13.49,25.95,USA,39.16
Market researcher,Entertainment,Decreasing,Moderate,39397.86,High School,16,7300,7050,85.62,20.36,USA,51.75
Social worker,Finance,Increasing,Moderate,133642.85,Associate Degree,17,3587,5363,30.36,83.7,USA,78.5
Petroleum engineer,Manufacturing,Increasing,Low,53800.21,High School,11,940,3957,2.78,5.31,USA,52.72
Tourism officer,Manufacturing,Increasing,High,116034.27,High School,9,6681,3584,36.59,96.16,USA,79.52
Manufacturing engineer,Finance,Decreasing,Moderate,39565.39,High School,0,8666,207,29.78,29.33,USA,51.93
"Horticulturist, commercial",IT,Increasing,High,52639.83,Master’s Degree,16,3396,4617,36.12,5.46,USA,32.72
Corporate treasurer,Entertainment,Increasing,Moderate,73762.08,Bachelor’s Degree,4,3751,7032,83.46,93.81,USA,35.27
"Accountant, chartered management",Education,Increasing,Low,87874.87,PhD,3,2724,3323,27.11,31.77,USA,73.93
Engineering geologist,Manufacturing,Decreasing,High,75939.32,Master’s Degree,19,9111,1062,94.78,15.91,USA,20
Midwife,IT,Increasing,High,81236.04,Master’s Degree,18,8753,9301,71.49,96.1,USA,72.07
"Programmer, applications",Finance,Decreasing,High,87097.41,PhD,1,3673,9967,30.91,5.97,USA,45.77
"Horticulturist, amenity",Entertainment,Decreasing,High,130650.5,Bachelor’s Degree,18,2410,3018,16.46,84.4,USA,77.03
Newspaper journalist,Manufacturing,Decreasing,Moderate,78479.44,Master’s Degree,12,7679,1203,31.57,48.15,USA,70.14
Retail manager,Education,Decreasing,High,53287.77,High School,4,233,2764,99.71,37.02,USA,67.94
"Teacher, special educational needs",Education,Decreasing,Moderate,146266.35,Bachelor’s Degree,11,3867,5218,72.36,76.51,USA,77.25
Water engineer,Education,Increasing,Moderate,47630.98,Bachelor’s Degree,0,9900,171,71.39,34.49,USA,60.53
"Engineer, drilling",Education,Increasing,Moderate,52557.69,PhD,16,1679,8252,4.51,65.93,USA,52.97
Research scientist (medical),Finance,Increasing,High,59538.52,Associate Degree,4,816,3051,56.2,19.31,USA,48.7
"Surveyor, building control",Transportation,Decreasing,High,114499.29,Associate Degree,9,6003,491,32.17,11.89,USA,31.22
Writer,Entertainment,Increasing,Moderate,140268.63,Bachelor’s Degree,9,7559,4588,65.81,40.23,USA,53.13
Microbiologist,Entertainment,Increasing,High,60770.34,Associate Degree,20,8457,7686,75.78,40.66,USA,38.57
Food technologist,Healthcare,Increasing,Low,44443.32,Master’s Degree,19,5215,672,9.24,90.72,USA,65.01
Warehouse manager,Finance,Increasing,High,111940.09,High School,19,8299,9462,10.28,50.64,USA,52.69
Fish farm manager,Healthcare,Increasing,High,95086.7,Bachelor’s Degree,19,1033,6461,42.87,28.84,USA,59.51
Professor Emeritus,Manufacturing,Decreasing,Low,145687.74,Master’s Degree,5,3801,7892,11.8,52.48,USA,59.03
Food technologist,Healthcare,Increasing,High,82169.53,High School,11,2844,8841,57.9,75.26,USA,54.06
"Physicist, medical",Education,Increasing,Low,136287.58,Bachelor’s Degree,20,4747,4093,19.55,20.75,USA,73.98
Chief Strategy Officer,Healthcare,Decreasing,Low,143295.15,Bachelor’s Degree,9,8936,1336,48.53,63.66,USA,31.49
Conference centre manager,Manufacturing,Decreasing,Moderate,55125.28,Associate Degree,19,8393,6820,69.57,49.93,USA,41.6
Editorial assistant,IT,Decreasing,Moderate,105671.44,Master’s Degree,0,2827,8131,40.28,9.98,USA,70.72
Structural engineer,Healthcare,Increasing,Moderate,83064.14,Master’s Degree,17,6842,5823,97.78,29.06,USA,34.47
"Teacher, English as a foreign language",Education,Decreasing,Low,132863.78,Associate Degree,8,5010,774,27.06,93.42,USA,30.75
"Programmer, systems",Retail,Increasing,Moderate,98564.68,High School,10,9805,4341,39.1,82.68,USA,35.88
"Investment banker, operational",Retail,Decreasing,High,139039.61,PhD,11,3035,376,25.13,58.26,USA,60.31
Hydrogeologist,Retail,Decreasing,Low,72608.73,Bachelor’s Degree,2,8527,163,69.04,20.81,USA,53.5
"Sound technician, broadcasting/film/video",Transportation,Increasing,Moderate,95361.27,Associate Degree,7,4154,5444,77.68,18.41,USA,76.27
Commissioning editor,Education,Increasing,High,149813.23,Master’s Degree,3,2728,6503,13.06,59.86,USA,61.42
Advice worker,Retail,Decreasing,Moderate,123418.94,Associate Degree,4,2568,3885,10.03,15.59,USA,30.92
Chartered legal executive (England and Wales),Healthcare,Increasing,High,73186.65,Master’s Degree,0,7175,8419,72.29,65.51,USA,73.48
Astronomer,Education,Decreasing,Moderate,84019.71,PhD,1,4672,9299,55.78,48.92,USA,75.54
Forensic scientist,Finance,Increasing,Low,50511.66,Associate Degree,6,5949,2640,4.48,97.11,USA,70.66
Environmental education officer,Entertainment,Increasing,Low,107134.35,Associate Degree,9,1923,2155,43.47,8.8,USA,64.02
Building control surveyor,Education,Increasing,Low,39298.33,PhD,10,2638,5135,30.84,38.64,USA,74.6
Physiotherapist,Education,Increasing,High,54855.02,Master’s Degree,7,8807,5200,26.35,20.91,USA,23.06
Armed forces logistics/support/administrative officer,Entertainment,Increasing,Moderate,129671.09,PhD,18,5411,2608,47.8,58.34,USA,77.35
Adult nurse,Retail,Decreasing,Low,129163.03,Master’s Degree,9,5509,6386,93.18,50.42,USA,49.06
Sales promotion account executive,Education,Decreasing,Moderate,127264.33,Master’s Degree,12,1712,920,57.18,54.97,USA,56.55
Pharmacologist,Transportation,Increasing,Low,83548.66,Bachelor’s Degree,8,1397,2697,80.34,76.63,USA,43.48
Health visitor,Transportation,Increasing,Moderate,30987.24,Associate Degree,14,4603,4580,48.65,23.06,USA,40.17
Building control surveyor,Entertainment,Increasing,High,147167.55,Bachelor’s Degree,11,6609,6306,35.68,62.16,USA,78.44
Dance movement psychotherapist,Education,Decreasing,Low,143431.51,High School,20,561,1270,6.1,17.42,USA,23.04
Retail buyer,Manufacturing,Decreasing,High,73427.86,PhD,6,6909,3884,33.85,54.17,USA,23.63
Estate agent,Transportation,Decreasing,Low,78099.69,High School,13,1623,7456,17.67,15.29,USA,20.58
Medical secretary,Healthcare,Increasing,Moderate,72924.54,High School,1,995,2417,33.91,65.74,USA,34.14
Television camera operator,IT,Increasing,Low,111339.22,Associate Degree,11,9999,4335,24.47,35.95,USA,63.06
Television camera operator,IT,Decreasing,Moderate,97190.55,Master’s Degree,20,5050,3148,60.05,34.52,USA,35.19
"Designer, furniture",Education,Decreasing,Low,110261.23,Master’s Degree,5,8930,9610,79.16,21.53,USA,43.03
Chief Strategy Officer,Finance,Increasing,Moderate,43729.47,Master’s Degree,10,8239,5647,36.24,9.19,USA,20.63
Volunteer coordinator,Retail,Increasing,High,51119.39,High School,5,5603,7867,71.17,91.26,USA,74.9
Medical technical officer,Healthcare,Decreasing,Low,60261.51,Associate Degree,15,2713,134,63.35,4.49,USA,58.39
Risk manager,IT,Decreasing,High,119855.67,PhD,19,5295,2224,85.58,39.32,USA,32.74
"Therapist, art",Finance,Increasing,Low,78304.41,Master’s Degree,1,3870,5967,24.78,5.55,USA,69.7
Academic librarian,Education,Increasing,High,123198.31,Associate Degree,3,4238,7644,70.23,37.88,USA,25.39
Technical sales engineer,Education,Increasing,High,134140.38,Associate Degree,5,1060,1865,3.01,18.16,USA,53.86
Interior and spatial designer,Transportation,Increasing,High,114546.8,PhD,15,7781,2233,62.8,94.38,USA,26.31
Diagnostic radiographer,Finance,Increasing,Moderate,62777.71,Associate Degree,7,4200,7153,57.03,60.91,USA,51.6
Barista,Finance,Increasing,High,67327.46,High School,8,8237,7874,9.02,74.06,USA,29.61
"Education officer, environmental",Transportation,Decreasing,High,105076.76,Associate Degree,19,698,6344,19.09,46.77,USA,47.63
Broadcast engineer,Finance,Increasing,Low,104334.97,Associate Degree,19,895,8165,62.65,94.75,USA,47.93
"Sales professional, IT",Transportation,Increasing,Moderate,65646.35,PhD,4,1574,3032,76.14,70.95,USA,45.44
Musician,Education,Decreasing,Low,69266.54,Bachelor’s Degree,10,2675,8855,10.21,20.38,USA,33.64
Haematologist,Finance,Increasing,Moderate,130715.48,Master’s Degree,5,6387,2955,49.83,52.03,USA,59.43
Pathologist,Transportation,Decreasing,Moderate,80720.21,Bachelor’s Degree,9,6322,7969,89.91,61.65,USA,72.41
Civil Service administrator,Education,Increasing,Moderate,46123.65,High School,17,8864,670,74.65,69.73,USA,59.31
"Programmer, applications",Entertainment,Decreasing,Low,113065.86,Associate Degree,9,9688,1278,64.02,93.34,USA,38.19
"Teacher, early years/pre",Education,Decreasing,Low,96677.54,PhD,13,8264,1242,77.43,43.29,USA,30.74
Theme park manager,Education,Increasing,High,148375.19,PhD,8,6702,2519,70.2,69.81,USA,53.05
Marketing executive,Retail,Increasing,Moderate,111378.53,PhD,17,9446,332,14.42,17.23,USA,42.75
Animator,Healthcare,Increasing,Moderate,138241.7,Associate Degree,17,6988,3649,62.93,17.17,USA,70.37
"Designer, television/film set",Retail,Increasing,Moderate,147618.81,PhD,2,8843,9941,11.96,74.71,USA,55.55
Industrial buyer,Healthcare,Increasing,High,117991.88,Master’s Degree,11,1794,3746,66.04,41.99,USA,45.91
Electronics engineer,Healthcare,Decreasing,Low,134300.53,Associate Degree,3,3039,7547,56.46,89.54,USA,34.87
Amenity horticulturist,Manufacturing,Increasing,Low,90157.33,High School,20,8588,4527,98.85,56.14,USA,76.46
Chief Financial Officer,Retail,Increasing,Low,35958.85,High School,6,5614,7470,90.01,97.91,USA,50.79
"Development worker, international aid",Healthcare,Increasing,Moderate,82551.92,High School,20,1506,4959,24.65,51.52,USA,61.2
"Geologist, wellsite",Education,Decreasing,High,128154.89,PhD,6,2762,9354,36.68,62.49,USA,51.71
"Psychologist, occupational",Healthcare,Increasing,Low,148011.53,Master’s Degree,4,1016,6570,30.16,56.51,USA,28.86
Secretary/administrator,Healthcare,Decreasing,High,108787.86,Associate Degree,4,8672,6840,30.84,52.58,USA,24.78
Actor,Retail,Increasing,Low,43014.71,PhD,8,5249,5592,81.1,16.28,USA,69.06
Charity fundraiser,Manufacturing,Decreasing,Low,115063.75,Bachelor’s Degree,5,6672,2375,36.83,46.09,USA,28.98
Research scientist (physical sciences),Education,Decreasing,Low,34768.76,Associate Degree,3,2511,1653,27.68,34.8,USA,27.76
Senior tax professional/tax inspector,Healthcare,Increasing,Low,79427.84,Master’s Degree,7,2967,8255,84.05,49.26,USA,77.28
Dispensing optician,Finance,Increasing,Moderate,63239.61,High School,19,9547,2448,69.76,63.75,USA,41.49
Armed forces logistics/support/administrative officer,Healthcare,Decreasing,Moderate,68758.79,Bachelor’s Degree,14,6452,9137,97.44,62.31,USA,49.25
Barrister's clerk,Entertainment,Decreasing,Moderate,72833.24,Bachelor’s Degree,8,3509,5905,93.16,82.5,USA,55.16
Technical sales engineer,Transportation,Increasing,Moderate,83994.06,High School,15,7818,7593,47.71,31.02,USA,62.27
Pensions consultant,Education,Decreasing,High,138551.87,Master’s Degree,10,6493,133,68.92,3.37,USA,66.33
Occupational therapist,Entertainment,Increasing,High,79013.87,PhD,18,1632,2019,87.25,53.56,USA,47.36
Publishing copy,Manufacturing,Decreasing,Moderate,36343.04,High School,7,2466,3763,63.88,7.12,USA,72.94
Printmaker,Manufacturing,Decreasing,Low,93262.42,High School,14,5688,5873,48.36,92.19,USA,75.39
Occupational psychologist,Entertainment,Increasing,Moderate,109295.1,Bachelor’s Degree,1,804,6409,95.93,78.99,USA,77.83
"Therapist, occupational",Education,Decreasing,Low,93028.27,Master’s Degree,16,4722,8445,4.03,69.45,USA,33.56
Leisure centre manager,IT,Increasing,High,46344.36,Master’s Degree,15,2060,8416,32.94,36.65,USA,37.51
"Engineer, communications",IT,Increasing,Moderate,102166.41,PhD,16,8790,9256,34.25,43.5,USA,60.64
"Embryologist, clinical",Education,Increasing,Moderate,43780.62,Associate Degree,7,9732,4342,99.84,4.27,USA,44.45
Diplomatic Services operational officer,Finance,Decreasing,Low,78186.14,PhD,6,5544,2431,96.35,38.05,USA,23.44
Dispensing optician,Transportation,Decreasing,Low,48887.39,Bachelor’s Degree,13,1154,3553,19.54,50.07,USA,47.64
"Engineer, energy",Manufacturing,Increasing,High,97010.12,Master’s Degree,16,5898,7950,66.82,6.57,USA,71.83
Minerals surveyor,Healthcare,Increasing,Low,61330.71,Associate Degree,14,7883,5246,34.54,86.53,USA,72.44
Building surveyor,Education,Increasing,Moderate,55382.09,PhD,2,6678,7536,15.39,9.63,USA,49.3
Tax inspector,Transportation,Decreasing,Moderate,146134.6,Associate Degree,18,8679,1215,37.15,78.44,USA,42.34
Technical author,Transportation,Decreasing,High,95499.57,Bachelor’s Degree,6,6681,9731,85.84,74.73,USA,67.03
"Conservation officer, nature",Manufacturing,Decreasing,High,117172.82,High School,0,3711,5575,3.13,15.16,USA,77.9
"Physicist, medical",Education,Decreasing,Low,41903.83,High School,13,1545,7895,27.89,71.76,USA,71.13
Accommodation manager,Education,Decreasing,Low,77447.47,Associate Degree,16,1664,4036,99.12,15.47,USA,72.82
Technical sales engineer,Healthcare,Increasing,High,50101.38,High School,20,3888,4099,63.49,64.69,USA,27.81
Clinical psychologist,Retail,Decreasing,Low,77796.95,Bachelor’s Degree,11,2780,1004,9.42,21.88,USA,65.57
Pharmacologist,IT,Increasing,Moderate,140833.88,High School,1,5232,467,84.66,26.24,USA,28.31
"Designer, interior/spatial",Transportation,Decreasing,Moderate,42542.63,PhD,4,8891,3295,79.87,16.49,USA,58.22
Audiological scientist,Transportation,Increasing,High,127676.96,PhD,18,2694,4996,3.35,93.38,USA,56.65
Newspaper journalist,Finance,Increasing,Moderate,43474.33,Associate Degree,5,8936,8801,15.22,24.08,USA,46.83
Geophysical data processor,Retail,Decreasing,Moderate,55912.12,Master’s Degree,19,5611,7973,26.83,82.88,USA,68.49
Chief Technology Officer,Entertainment,Decreasing,Low,62218.6,Bachelor’s Degree,1,2038,2239,1.46,82.04,USA,30.82
Lexicographer,Transportation,Decreasing,Moderate,57292.06,PhD,20,8297,7642,24.9,8.79,USA,50.11
"Designer, fashion/clothing",Education,Increasing,Moderate,125880.11,Master’s Degree,19,1838,1088,0.96,72.61,USA,68.19
Event organiser,Finance,Increasing,Moderate,63717.17,Master’s Degree,6,3339,2397,16.62,65.17,USA,73.57
Control and instrumentation engineer,Healthcare,Increasing,High,31094.75,Bachelor’s Degree,11,2274,1465,46.2,21.6,USA,75.27
Statistician,Transportation,Decreasing,Moderate,47497.38,High School,14,4627,7782,24.49,54.34,USA,55.22
Horticultural consultant,Transportation,Increasing,High,114406.69,Bachelor’s Degree,7,2819,6392,13.12,64.54,USA,32.26
Paramedic,Healthcare,Increasing,Moderate,41786.35,Associate Degree,0,4027,6446,24.82,19.07,USA,72.8
Company secretary,Healthcare,Decreasing,Moderate,92148.17,High School,15,2108,6815,12.42,35.96,USA,66.32
Educational psychologist,Finance,Increasing,Moderate,65224.7,Associate Degree,19,774,4106,14.79,59.33,USA,30.8
Energy manager,Manufacturing,Decreasing,Low,95502.74,High School,7,6901,7028,40.96,77.31,USA,47.51
"Horticulturist, amenity",Education,Increasing,High,51203.7,Associate Degree,8,793,2703,45.86,64.08,USA,73.06
"Journalist, newspaper",Finance,Increasing,Moderate,70942.07,High School,19,3918,5418,82.56,68.5,USA,45.44
Astronomer,IT,Decreasing,Moderate,131842.34,Bachelor’s Degree,3,2474,818,17.16,47.51,USA,30.09
Cabin crew,Finance,Decreasing,Moderate,42091.15,PhD,16,2019,5784,73.57,45.39,USA,39.91
Dealer,Finance,Decreasing,High,145212.03,High School,12,720,2475,64.32,65.21,USA,44.59
Computer games developer,Manufacturing,Decreasing,Low,82686.91,Associate Degree,3,8900,9459,39.91,12.63,USA,31.98
Plant breeder/geneticist,Healthcare,Increasing,Moderate,140994.86,PhD,19,5295,1455,1.94,94.79,USA,29.88
Animal nutritionist,Finance,Increasing,Moderate,103926.83,Associate Degree,20,5905,7736,52.77,31.16,USA,24.34
"Scientist, physiological",Entertainment,Increasing,High,83055.22,Associate Degree,12,6498,8262,92.15,10.25,USA,61.8
"Accountant, chartered",Finance,Decreasing,Moderate,98743.58,Bachelor’s Degree,7,5775,1905,49.2,78.03,USA,31.07
"Administrator, charities/voluntary organisations",Transportation,Decreasing,High,64030.39,High School,10,9036,946,25.76,84.22,USA,75.62
Exercise physiologist,Education,Increasing,Low,105017.47,Master’s Degree,19,547,629,45.63,70.59,USA,28.07
"Radiographer, diagnostic",Entertainment,Increasing,Low,137226.26,Master’s Degree,12,7311,5929,4.64,53.26,USA,39.5
"Pharmacist, community",Education,Increasing,Low,147076.46,Master’s Degree,20,8042,2336,39.91,22.06,USA,38.97
Occupational psychologist,Manufacturing,Decreasing,Moderate,72231.37,High School,1,6239,2386,75.04,40.87,USA,21.38
Games developer,IT,Decreasing,High,102165.72,PhD,5,6774,3995,39.54,20.28,USA,47.6
"Geologist, wellsite",Entertainment,Decreasing,Moderate,127485.89,PhD,15,6564,2588,88.33,58.67,USA,23.49
"Therapist, drama",Finance,Increasing,High,99616.24,Associate Degree,18,2106,9672,23.46,38.08,USA,65.55
"Nurse, children's",Retail,Decreasing,High,94566.83,High School,1,6486,1316,48.47,71.76,USA,74.86
Textile designer,Transportation,Increasing,Moderate,45846.97,Associate Degree,2,4607,1883,51.05,6.7,USA,22.87
Geoscientist,Education,Increasing,High,55473.74,Master’s Degree,8,5433,3000,20.93,94.46,USA,63.35
Occupational therapist,Transportation,Decreasing,Low,95174.15,Bachelor’s Degree,10,1705,6353,53.85,18.45,USA,25.96
Garment/textile technologist,Entertainment,Increasing,Low,87826.93,Master’s Degree,10,2518,3952,43.86,64.76,USA,77.66
Senior tax professional/tax inspector,IT,Decreasing,Low,30074.45,High School,3,8102,220,4.26,74.51,USA,54.62
Psychiatrist,IT,Decreasing,Low,94154.47,PhD,4,7753,463,57.57,6.87,USA,52.91
Database administrator,Finance,Increasing,High,62584.36,PhD,8,4721,1466,89.68,48.88,USA,37.88
Statistician,IT,Decreasing,High,130317.75,Master’s Degree,15,2448,9776,21.78,84.86,USA,50.11
Phytotherapist,Retail,Increasing,Moderate,100473.44,Master’s Degree,20,1848,9625,34.27,54.23,USA,24.22
"Administrator, arts",Finance,Increasing,Moderate,31298.25,Associate Degree,0,6806,9603,87.57,88.26,USA,65.86
Trading standards officer,Healthcare,Decreasing,Low,46984.83,PhD,8,5732,7147,10.46,38.16,USA,51.12
Museum/gallery curator,Entertainment,Increasing,Moderate,102521.69,Master’s Degree,6,8560,1872,66.75,59.57,USA,44.04
Dealer,Transportation,Decreasing,Moderate,126221.13,Associate Degree,4,983,8446,71.28,44.37,USA,49.22
"Engineer, aeronautical",IT,Decreasing,Moderate,77566.91,High School,10,5247,5889,68.25,79.02,USA,52.04
"Designer, multimedia",Education,Increasing,High,79572.38,PhD,1,7291,7402,40.28,93.07,USA,45.8
"Accountant, chartered certified",IT,Decreasing,Low,145866.27,Bachelor’s Degree,8,6044,3369,96.95,42.46,USA,67.28
Teaching laboratory technician,Education,Decreasing,Moderate,66976.23,PhD,4,2707,4838,63.31,36.27,USA,36.97
Company secretary,Transportation,Decreasing,Moderate,140946.54,Associate Degree,17,1730,362,56.3,65.59,USA,33.99
Waste management officer,Healthcare,Decreasing,High,146218.17,PhD,1,7345,2938,27.75,54.65,USA,42.52
Psychotherapist,Transportation,Increasing,Low,72456.18,PhD,13,3381,5322,23.71,82.4,USA,73.44
Contractor,IT,Decreasing,High,135943.15,PhD,11,4979,9969,50.89,21.29,USA,33.64
Insurance broker,Entertainment,Decreasing,High,55399.07,High School,1,3270,1510,2.96,69.87,USA,26.09
Mudlogger,Healthcare,Decreasing,Moderate,42070.4,PhD,6,3551,6388,6.41,80.96,USA,40.32
Field seismologist,Healthcare,Decreasing,High,35496.47,PhD,20,4916,1723,25.77,65.87,USA,57.47
"Therapist, horticultural",Transportation,Increasing,Moderate,122143.56,Bachelor’s Degree,6,4790,7660,87.54,38.34,USA,77.71
Cartographer,Healthcare,Decreasing,Moderate,148417.89,Master’s Degree,1,4437,8079,88.06,6.12,USA,65.23
Risk manager,Entertainment,Decreasing,Moderate,146059.28,Associate Degree,4,6747,4928,29.05,79.35,USA,68.24
Marine scientist,Education,Decreasing,Low,147128.84,Master’s Degree,2,7574,5193,63.72,52.49,USA,44.37
Site engineer,Education,Increasing,Moderate,39650.85,Master’s Degree,9,7298,2491,99.97,90.62,USA,29.52
Armed forces technical officer,Transportation,Decreasing,Moderate,102186.6,High School,9,6371,6241,25.65,55.51,USA,39.49
"Engineer, civil (consulting)",Finance,Increasing,Low,118291.49,Bachelor’s Degree,17,6473,9960,94.77,33.56,USA,27.6
Tax inspector,IT,Increasing,Moderate,142767.23,Bachelor’s Degree,19,4159,2691,54.8,24.03,USA,66.41
Environmental manager,Healthcare,Increasing,Moderate,106867.79,Master’s Degree,2,2219,4006,57.12,14.45,USA,31.8
Health and safety inspector,Transportation,Decreasing,Moderate,89216.55,PhD,8,9015,9735,65.58,71.84,USA,69.62
Fashion designer,Manufacturing,Increasing,High,67275.45,Master’s Degree,14,845,7518,67.32,29.51,USA,24.26
